nomination_rank,tier,gene_name,direction_verdict,direction_basis,ot_genetic_max,ot_genetic_n_diseases,loeuf,prec,lof_tolerant,modality,sm_pocket,clinical_precedent,viability_tier,housekeeping,window_rank,efficacy,n_module_down,il2_hit,liabilities
86,"D: direction unknown, no autoimmune genetics",SIN3B,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)",0.0,,0.246,6.7242e-15,False,"inhibitor only, needs a therapeutic window (LoF-intolerant)",False,False,non-depleting,False,3892,0.1836274778306816,4,False,LoF-intolerant; perturbs the resting arm; no pocket and no clinical precedent
87,"D: direction unknown, no autoimmune genetics",CSDE1,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)",0.0,,0.295,2.1889e-09,False,"inhibitor only, needs a therapeutic window (LoF-intolerant)",False,False,non-depleting,False,4070,0.3641244900753303,4,False,LoF-intolerant; perturbs the resting arm; no pocket and no clinical precedent
88,"D: direction unknown, no autoimmune genetics",CASK,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)",0.0,,,,False,"inhibitor only, needs a therapeutic window (LoF-intolerant)",True,False,depleting-at-rest,False,4319,0.1460641502289742,3,False,LoF-intolerant; perturbs the resting arm; depleting-at-rest
89,"D: direction unknown, no autoimmune genetics",PNPT1,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)",0.0,,0.641,0.99984,False,"inhibitor only, needs a therapeutic window (LoF-intolerant)",False,False,depleting-at-rest,False,4351,0.5311519232023107,5,False,LoF-intolerant; perturbs the resting arm; depleting-at-rest; no pocket and no clinical precedent
90,"D: direction unknown, no autoimmune genetics",TIMP1,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)",0.0,,,,False,"inhibitor only, needs a therapeutic window (LoF-intolerant)",False,False,depleting-at-rest,False,4949,0.4647286893989606,4,False,LoF-intolerant; depleting-at-rest; no pocket and no clinical precedent
91,"D: direction unknown, no autoimmune genetics",GNE,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)",0.0,,0.822,0.99593,False,"inhibitor only, needs a therapeutic window (LoF-intolerant)",True,False,non-depleting,False,5037,0.225180496892076,3,False,LoF-intolerant
92,"D: direction unknown, no autoimmune genetics",DHX9,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)",0.0,,0.264,3.0291e-16,False,"inhibitor only, needs a therapeutic window (LoF-intolerant)",True,False,depleting-at-rest,False,5386,0.3851794962206437,3,False,LoF-intolerant; perturbs the resting arm; depleting-at-rest
93,"D: direction unknown, no autoimmune genetics",MBTPS1,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)",0.0,,0.852,0.99873,False,"inhibitor only, needs a therapeutic window (LoF-intolerant)",False,False,depleting-at-rest,False,5617,0.332432008849158,3,False,LoF-intolerant; depleting-at-rest; no pocket and no clinical precedent
94,"D: direction unknown, no autoimmune genetics",LETM2,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)",0.0,,1.247,0.51993,True,knockout- or degrader-tolerable,False,False,non-depleting,False,5761,-0.1024320509376101,3,False,no pocket and no clinical precedent
95,"D: direction unknown, no autoimmune genetics",SKIC8,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)",0.0,,,,False,"inhibitor only, needs a therapeutic window (LoF-intolerant)",True,False,depleting-at-rest,False,6128,0.0810488517719044,5,False,LoF-intolerant; perturbs the resting arm; depleting-at-rest
